channel_set,epoch,g,is_best,learning_rate,model_family,run_id,stride,ticket_stage,track,train_acc@1,train_loss,validation_file_acc@1,validation_file_f1,validation_window_acc@1,validation_window_f1,view_mode,window_size
,32,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,74.72133757961784,0.7538731682832074,,,,,diff,100
,33,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,75.43789808917198,0.7405097484588623,,,,,diff,100
,34,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,76.39331210191082,0.7471918691495422,,,,,diff,100
,35,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,76.35350318471338,0.7357711416141243,,,,,diff,100
,36,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,76.39331210191082,0.7308165290553099,,,,,diff,100
,37,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,77.7468152866242,0.6933771630001676,,,,,diff,100
,38,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,76.59235668789809,0.7116122803870281,,,,,diff,100
,39,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,77.03025477707007,0.7051934896001391,,,,,diff,100
,40,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030210-0ac336f0,50,t08,exact-upstream,77.70700636942675,0.6937370342054184,,,,,diff,100
,1,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,14.769108280254777,3.2215038272225933,,,,,diff,100
,2,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,30.812101910828027,2.4542256403880516,,,,,diff,100
,3,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,39.53025477707006,2.0996252883012128,,,,,diff,100
,4,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,46.93471337579618,1.836363982243143,,,,,diff,100
,5,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,48.56687898089172,1.6645331754805937,,,,,diff,100
,6,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,53.781847133757964,1.5308072627729672,,,,,diff,100
,7,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,55.37420382165605,1.4593998884699146,,,,,diff,100
,8,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,58.9171974522293,1.3581672641122418,,,,,diff,100
,9,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,59.03662420382165,1.30675091485309,,,,,diff,100
,10,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,60.27070063694268,1.2735515445660635,,,,,diff,100
,11,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,62.5796178343949,1.1958067455109518,,,,,diff,100
,12,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,63.495222929936304,1.155574734803218,,,,,diff,100
,13,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,63.495222929936304,1.1223092527146552,,,,,diff,100
,14,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,64.171974522293,1.0980772702557267,,,,,diff,100
,15,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,67.15764331210191,1.0282390201167695,,,,,diff,100
,16,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,66.60031847133757,1.037180218726966,,,,,diff,100
,17,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,68.86942675159236,0.9802226967113034,,,,,diff,100
,18,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,68.9092356687898,0.9654829323671426,,,,,diff,100
,19,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,68.23248407643312,0.9530049759870881,,,,,diff,100
,20,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,70.38216560509554,0.9357595686699934,,,,,diff,100
,21,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,70.30254777070064,0.901948019197792,,,,,diff,100
,22,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,71.77547770700637,0.8758273861210817,,,,,diff,100
,23,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,70.82006369426752,0.8750905519837786,,,,,diff,100
,24,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,71.73566878980891,0.8704538292186276,,,,,diff,100
,25,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,73.20859872611464,0.8435248770531575,,,,,diff,100
,26,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,73.20859872611464,0.7994272982238964,,,,,diff,100
,27,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,73.68630573248407,0.8222066703116059,,,,,diff,100
,28,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,75.27866242038216,0.7732350211234609,,,,,diff,100
,29,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,73.60668789808918,0.7847511817695229,,,,,diff,100
,30,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,75.1592356687898,0.7649583076215853,,,,,diff,100
,31,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,75.27866242038216,0.7499074134857032,,,,,diff,100
,32,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,74.72133757961784,0.7538731682832074,,,,,diff,100
,33,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,75.43789808917198,0.7405097484588623,,,,,diff,100
,34,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,76.39331210191082,0.7471918691495422,,,,,diff,100
,35,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,76.35350318471338,0.7357711416141243,,,,,diff,100
,36,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,76.39331210191082,0.7308165290553099,,,,,diff,100
,37,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,77.7468152866242,0.6933771630001676,,,,,diff,100
,38,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,76.59235668789809,0.7116122803870281,,,,,diff,100
,39,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,77.03025477707007,0.7051934896001391,,,,,diff,100
,40,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030733-f04ff1b1,50,t08,exact-upstream,77.70700636942675,0.6937370342054184,,,,,diff,100
,1,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,17.038216560509554,2.9932046574392137,,,,,diff,100
,2,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,33.67834394904459,2.1723962149042992,,,,,diff,100
