channel_set,g,metric_name,metric_value,model_family,run_id,stride,ticket_stage,track,view_mode,window_size
extra6,25,macro_f1,38.23093231556686,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,100
all12,25,acc@1,68.52589641434263,cnn,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,94.22310756972112,cnn,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,69.09276823019215,cnn,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,68.61111111111111,cnn,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,67.11975104933651,cnn,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@1,67.52988047808765,cnn,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,94.42231075697211,cnn,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,69.0008541166436,cnn,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,67.73434343434343,cnn,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,66.67516376133236,cnn,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@1,68.52589641434263,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,92.62948207171314,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,69.78066173592488,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,68.66262626262626,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,67.11099856295442,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,m01c,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@1,62.74900398406375,deep_temporal_resnet,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,50,m02,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,93.02788844621513,deep_temporal_resnet,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,50,m02,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,63.622771363483444,deep_temporal_resnet,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,50,m02,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,62.715151515151526,deep_temporal_resnet,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,50,m02,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,61.37575265041328,deep_temporal_resnet,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,50,m02,moonshot-enhanced-setting,diff_all12,100
,25,acc@1,51.39442231075697,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,t10b,research-extension,diff,100
